"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_auto_prefix","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","UnitFormatterTest","unit_formatter_test","",""
"","2","test_klayout_polygon","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","2540","test_sideoverlap_plates_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Mon Feb 16 18:01:25 UTC 2026","passed","Mon Feb 16 18:01:27 UTC 2026","","rcx25_CC_sky130A_test","",""
"","2","test_env_has_defaults","Unit Tests","Mon Feb 16 17:59:38 UTC 2026","passed","Mon Feb 16 17:59:38 UTC 2026","Test","env_test","",""
"","1","test_render_enum_help__default__strenum__lowercased","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","Test","argparse_helpers_test","",""
"","341","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Mon Feb 16 18:01:56 UTC 2026","passed","Mon Feb 16 18:01:56 UTC 2026","","rcx25_test","",""
"","2537","test_sideoverlap_fingered_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Mon Feb 16 18:01:30 UTC 2026","passed","Mon Feb 16 18:01:32 UTC 2026","","rcx25_CC_sky130A_test","",""
"","2","test_summarize_overlap","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","CellExtractionResultsTest","extraction_results_test","",""
"","311","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Mon Feb 16 18:01:02 UTC 2026","passed","Mon Feb 16 18:01:02 UTC 2026","","rcx25_CC_sky130A_test","",""
"","4","test_netlist_reduction_1","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","Test","netlist_reducer_test","",""
"","319","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Mon Feb 16 18:01:54 UTC 2026","passed","Mon Feb 16 18:01:54 UTC 2026","","rcx25_test","",""
"","2578","test_contact_1x1_minsize_mcon","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Mon Feb 16 18:01:43 UTC 2026","failed","Mon Feb 16 18:01:46 UTC 2026","","rcx25_R_sky130A_test","",""
"","0","test_klayout_polygon_to_pb","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","331","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Mon Feb 16 18:01:54 UTC 2026","passed","Mon Feb 16 18:01:54 UTC 2026","","rcx25_test","",""
"","2546","test_wire_voltage_divider_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Mon Feb 16 18:01:46 UTC 2026","failed","Mon Feb 16 18:01:48 UTC 2026","","rcx25_R_sky130A_test","",""
"","386","test_sideoverlap_fingered_li1_m1","kpex/2.5D Extraction Tests","Mon Feb 16 18:01:58 UTC 2026","passed","Mon Feb 16 18:01:58 UTC 2026","","rcx25_test","",""
"","1","test_klayout_region","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","0","test_summarize_sidewall","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","CellExtractionResultsTest","extraction_results_test","",""
"","349","test_sideoverlap_shielding_simple_plates_li1_m1_m2","kpex/2.5D Extraction Tests","Mon Feb 16 18:01:57 UTC 2026","passed","Mon Feb 16 18:01:57 UTC 2026","","rcx25_test","",""
"","2505","test_lateral_fringe_shield_by_same_polygon_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Mon Feb 16 18:01:17 UTC 2026","passed","Mon Feb 16 18:01:20 UTC 2026","","rcx25_CC_sky130A_test","",""
"","10","test_netlist_reduction_2","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","Test","netlist_json_test","",""
"","2541","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Mon Feb 16 18:01:12 UTC 2026","passed","Mon Feb 16 18:01:15 UTC 2026","","rcx25_CC_sky130A_test","",""
"","1","test_boundary_cases","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","UnitFormatterTest","unit_formatter_test","",""
"","0","test_summarize_sideoverlap","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","CellExtractionResultsTest","extraction_results_test","",""
"","2522","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Mon Feb 16 18:01:15 UTC 2026","passed","Mon Feb 16 18:01:17 UTC 2026","","rcx25_CC_sky130A_test","",""
"","3","test_fastercap_parse_capacitance_matrix","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","Test","fastercap_runner_test","",""
"","0","test_klayout_point_to_pb","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","0","test_klayout_box_to_pb__with_properties","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","4","test_averaged_off_diagonals","Unit Tests","Mon Feb 16 17:59:38 UTC 2026","passed","Mon Feb 16 17:59:38 UTC 2026","Test","capacitance_matrix_test","",""
"","0","test_normed_ascending","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","NetCoupleKeyTest","extraction_results_test","",""
"","5069","test_mom_cap__whiteboxed","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Mon Feb 16 18:01:35 UTC 2026","passed","Mon Feb 16 18:01:40 UTC 2026","","rcx25_CC_sky130A_test","",""
"","385","test_sideoverlap_plates_li1_m1","kpex/2.5D Extraction Tests","Mon Feb 16 18:01:57 UTC 2026","passed","Mon Feb 16 18:01:57 UTC 2026","","rcx25_test","",""
"","2","test_netlist_reduction_2","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","Test","netlist_reducer_test","",""
"","0","test_render_enum_help__default__strenum","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","Test","argparse_helpers_test","",""
"","0","test_forced_prefix","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","UnitFormatterTest","unit_formatter_test","",""
"","2509","test_sideoverlap_shielding_simple_plates_li1_m1_m2","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Mon Feb 16 18:01:22 UTC 2026","passed","Mon Feb 16 18:01:25 UTC 2026","","rcx25_CC_sky130A_test","",""
"","2","test_parse_csv","Unit Tests","Mon Feb 16 17:59:38 UTC 2026","passed","Mon Feb 16 17:59:38 UTC 2026","Test","capacitance_matrix_test","",""
"","2","test_normed_descending","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","NetCoupleKeyTest","extraction_results_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","Test","argparse_helpers_test","",""
"","323","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Mon Feb 16 18:01:55 UTC 2026","passed","Mon Feb 16 18:01:56 UTC 2026","","rcx25_test","",""
"","2655","test_sideoverlap_complex_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Mon Feb 16 18:01:32 UTC 2026","passed","Mon Feb 16 18:01:35 UTC 2026","","rcx25_CC_sky130A_test","",""
"","2553","test_single_wire_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Mon Feb 16 18:01:41 UTC 2026","failed","Mon Feb 16 18:01:43 UTC 2026","","rcx25_R_sky130A_test","",""
"","4","test_netlist_reduction_1","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","Test","netlist_json_test","",""
"","2725","test_via_stack_1x1_minsize_poly_to_met5","kpex/2.5D Extraction Tests [PDK sky130A | mode R]","Mon Feb 16 18:01:48 UTC 2026","failed","Mon Feb 16 18:01:51 UTC 2026","","rcx25_R_sky130A_test","",""
"","34","test_netlist_expansion","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","Test","netlist_expander_test","",""
"","2","test_render_enum_help__default__intenum","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","Test","argparse_helpers_test","",""
"","522","test_sideoverlap_complex_li1_m1","kpex/2.5D Extraction Tests","Mon Feb 16 18:01:58 UTC 2026","passed","Mon Feb 16 18:01:59 UTC 2026","","rcx25_test","",""
"","1027","test_fastercap_model_generator","Unit Tests","Mon Feb 16 17:59:38 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","","fastercap_model_generator_test","",""
"","2516","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Mon Feb 16 18:01:27 UTC 2026","passed","Mon Feb 16 18:01:30 UTC 2026","","rcx25_CC_sky130A_test","",""
"","2","test_klayout_box","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","2513","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Mon Feb 16 18:01:02 UTC 2026","passed","Mon Feb 16 18:01:04 UTC 2026","","rcx25_CC_sky130A_test","",""
"","2616","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Mon Feb 16 18:01:04 UTC 2026","passed","Mon Feb 16 18:01:07 UTC 2026","","rcx25_CC_sky130A_test","",""
"","341","test_sideoverlap_fingered_li1_m1_patternA","kpex/2.5D Extraction Tests","Mon Feb 16 18:01:57 UTC 2026","passed","Mon Feb 16 18:01:58 UTC 2026","","rcx25_test","",""
"","32","test_fastcap_parse_capacitance_matrix","Unit Tests","Mon Feb 16 17:59:38 UTC 2026","passed","Mon Feb 16 17:59:38 UTC 2026","Test","fastcap_runner_test","",""
"","2509","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Mon Feb 16 18:01:07 UTC 2026","passed","Mon Feb 16 18:01:10 UTC 2026","","rcx25_CC_sky130A_test","",""
"","2510","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Mon Feb 16 18:01:10 UTC 2026","passed","Mon Feb 16 18:01:12 UTC 2026","","rcx25_CC_sky130A_test","",""
"","0","test_klayout_box_to_pb","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","0","test_klayout_point","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","ShapesConverterTest","shapes_pb2_converter_test","",""
"","391","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Mon Feb 16 18:01:54 UTC 2026","passed","Mon Feb 16 18:01:55 UTC 2026","","rcx25_test","",""
"","450","test_mom_cap__blackboxed","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Mon Feb 16 18:01:40 UTC 2026","passed","Mon Feb 16 18:01:41 UTC 2026","","rcx25_CC_sky130A_test","",""
"","2","test_write_csv","Unit Tests","Mon Feb 16 17:59:38 UTC 2026","passed","Mon Feb 16 17:59:38 UTC 2026","Test","capacitance_matrix_test","",""
"","0","test_env_with_custom_variables","Unit Tests","Mon Feb 16 17:59:38 UTC 2026","passed","Mon Feb 16 17:59:38 UTC 2026","Test","env_test","",""
"","338","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","Mon Feb 16 18:01:56 UTC 2026","passed","Mon Feb 16 18:01:57 UTC 2026","","rcx25_test","",""
"","1","test_invalid_prefix","Unit Tests","Mon Feb 16 17:59:39 UTC 2026","passed","Mon Feb 16 17:59:39 UTC 2026","UnitFormatterTest","unit_formatter_test","",""
"","326","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Mon Feb 16 18:01:55 UTC 2026","passed","Mon Feb 16 18:01:55 UTC 2026","","rcx25_test","",""
"","2551","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","Mon Feb 16 18:01:20 UTC 2026","passed","Mon Feb 16 18:01:22 UTC 2026","","rcx25_CC_sky130A_test","",""
"","318","test_lateral_fringe_shield_by_same_polygon_li1","kpex/2.5D Extraction Tests","Mon Feb 16 18:01:56 UTC 2026","passed","Mon Feb 16 18:01:56 UTC 2026","","rcx25_test","",""
